Symbol,Date,Open,High,Low,Close,Volume
TGRO.OB,27-Apr-2018,0.0169,0.0169,0.0166,0.0166,5800
TGSGY.OB,27-Apr-2018,31.4,31.4,31.4,31.4,100
THBIY.OB,27-Apr-2018,4.2,4.2,4.2,4.2,100
THCBF.OB,27-Apr-2018,0.9897,1.02,0.9649,1,33300
THDDY.OB,27-Apr-2018,22.75,22.75,22.75,22.75,0
THDS.OB,27-Apr-2018,0.011,0.011,0.011,0.011,0
THERF.OB,27-Apr-2018,7.25,7.28,7.18,7.2445,42000
THKLY.OB,27-Apr-2018,17.4475,17.55,17.4475,17.55,1100
THMG.OB,27-Apr-2018,0.179,0.179,0.179,0.179,0
THNRF.OB,27-Apr-2018,1.55,1.55,1.55,1.55,2000
THNS.OB,27-Apr-2018,0.0001,0.0001,0.0001,0.0001,0
THPHF.OB,27-Apr-2018,0.0012,0.0012,0.0012,0.0012,0
THRR.OB,27-Apr-2018,0.0002,0.0002,0.0002,0.0002,0
THYCY.OB,27-Apr-2018,9.35,9.35,9.35,9.35,300
TIGCF.OB,27-Apr-2018,0.2898,0.2898,0.2834,0.2834,8500
TIMGF.OB,27-Apr-2018,0.106,0.106,0.106,0.106,0
TINO.OB,27-Apr-2018,0.0035,0.0035,0.0035,0.0035,0
TIPGF.OB,27-Apr-2018,0.005,0.005,0.005,0.005,83900
TISCY.OB,27-Apr-2018,13.19,13.19,13.19,13.19,0
TITXF.OB,27-Apr-2018,0.1995,0.2164,0.1995,0.209,526200
TIXC.OB,27-Apr-2018,0.27,0.27,0.27,0.27,0
TKAGY.OB,27-Apr-2018,18.75,18.75,18.75,18.75,500
TKAMY.OB,27-Apr-2018,26.715,26.715,26.715,26.715,600
TKCBY.OB,27-Apr-2018,51.12,52.8,51.12,52.74,5500
TKECF.OB,27-Apr-2018,4.73,4.8,4.73,4.8,2200
TKGBY.OB,27-Apr-2018,2.36,2.36,2.25,2.26,9694500
TKGSY.OB,27-Apr-2018,13.345,13.4,13.345,13.4,300
TKOI.OB,27-Apr-2018,0.12,0.12,0.11,0.1138,17400
TKOMY.OB,27-Apr-2018,47.35,47.35,47.21,47.3,5200
TKPYY.OB,27-Apr-2018,21.15,21.42,20.859,21.25,130600
TKRFF.OB,27-Apr-2018,0.353,0.3869,0.353,0.3869,19500
TKSTF.OB,27-Apr-2018,0.032,0.032,0.032,0.032,0
TKXHF.OB,27-Apr-2018,0.228,0.23,0.228,0.23,13600
TKYVY.OB,27-Apr-2018,15.12,15.7,15.12,15.7,2100
TLCVF.OB,27-Apr-2018,0.0012,0.0012,0.0012,0.0012,0
TLDE.OB,27-Apr-2018,0.11,0.11,0.11,0.11,5000
TLED.OB,27-Apr-2018,0.0133,0.0133,0.0133,0.0133,5600
TLGN.OB,27-Apr-2018,0.018,0.018,0.018,0.018,0
TLGRF.OB,27-Apr-2018,0.54,0.54,0.53,0.53,2900
TLKGY.OB,27-Apr-2018,18.23,18.23,18.23,18.23,500
TLKMF.OB,27-Apr-2018,0.2,0.2,0.2,0.2,0
TLLEQ.OB,27-Apr-2018,0.0007,0.0007,0.0007,0.0007,3200
TLLT.OB,27-Apr-2018,0.17,0.17,0.17,0.17,0
TLLYF.OB,27-Apr-2018,3.4592,3.4592,3.4126,3.4126,300
TLOG.OB,27-Apr-2018,0.027,0.027,0.0203,0.023,50800
TLPC.OB,27-Apr-2018,0.025,0.025,0.025,0.025,0
TLPY.OB,27-Apr-2018,0.0015,0.0015,0.0015,0.0015,4500
TLRS.OB,27-Apr-2018,0.11,0.11,0.105,0.1075,10500
TLSNY.OB,27-Apr-2018,9.89,9.96,9.89,9.94,18800
TLSRP.OB,27-Apr-2018,12.5,12.5,12.5,12.5,800
TLSYY.OB,27-Apr-2018,11.76,11.93,11.76,11.91,56600
TLTFF.OB,27-Apr-2018,0.169,0.17,0.165,0.17,22600
TLTZF.OB,27-Apr-2018,13.26,13.26,13.26,13.26,100
TMAK.OB,27-Apr-2018,9.92,9.92,9.92,9.92,0
TMBXF.OB,27-Apr-2018,0.0035,0.0035,0.003,0.003,567000
TMEB.OB,27-Apr-2018,0.0033,0.0033,0.0033,0.0033,0
TMIAF.OB,27-Apr-2018,0.1043,0.1043,0.0901,0.092,412500
TMIBF.OB,27-Apr-2018,0.1575,0.1576,0.1574,0.1574,130000
TMICY.OB,27-Apr-2018,59.73,60.31,59.73,60.31,2100
TMMFF.OB,27-Apr-2018,5.71,5.71,5.71,5.71,400
TMMI.OB,27-Apr-2018,0.024,0.027,0.024,0.027,57000
TMOAF.OB,27-Apr-2018,9.7807,9.7807,9.7807,9.7807,0
TMOAY.OB,27-Apr-2018,4.88,4.96,4.88,4.88,2600
TMPS.OB,27-Apr-2018,0.1782,0.1782,0.162,0.162,2300
TMRAF.OB,27-Apr-2018,17.9969,17.9969,17.9969,17.9969,0
TMSNY.OB,27-Apr-2018,128.65,129.05,128.65,129.05,1200
TMTNF.OB,27-Apr-2018,43.2868,43.2868,43.2868,43.2868,0
TMXN.OB,27-Apr-2018,0.0112,0.0115,0.0099,0.0108,217100
TNABY.OB,27-Apr-2018,16.06,16.06,15.15,16.06,1200
TNEN.OB,27-Apr-2018,0.027,0.027,0.027,0.027,2000
TNEYF.OB,27-Apr-2018,2.831,2.839,2.831,2.839,5000
