Symbol,Date,Open,High,Low,Close,Volume
AABB.OB,30-Apr-2018,0.018,0.018,0.018,0.018,1000
AACAY.OB,30-Apr-2018,14.74,14.74,14.32,14.45,53600
AACS.OB,30-Apr-2018,0.0013,0.0013,0.0013,0.0013,10000
AACTF.OB,30-Apr-2018,0.1579,0.1579,0.1579,0.1579,6300
AAGC.OB,30-Apr-2018,0.0002,0.0002,0.0002,0.0002,1000900
AAGH.OB,30-Apr-2018,0.016,0.016,0.012,0.012,21000
AAGIY.OB,30-Apr-2018,36.45,36.45,35.8,35.89,152800
AAIGF.OB,30-Apr-2018,8.86,8.99,8.86,8.89,12900
AALBF.OB,30-Apr-2018,49.23,49.23,49.23,49.23,100
AAMAF.OB,30-Apr-2018,2.76,2.76,2.76,2.76,1700
AAMTF.OB,30-Apr-2018,0.34,0.35,0.318,0.35,6000
AANR.OB,30-Apr-2018,24,25.6,23.5,25.33,1686400
AAPH.OB,30-Apr-2018,0.0006,0.0007,0.0006,0.0006,1646100
AAPT.OB,30-Apr-2018,0.0002,0.0002,0.0001,0.0001,4475000
AAST.OB,30-Apr-2018,0.01,0.01,0.0065,0.0065,55000
AATRL.OB,30-Apr-2018,63.5,63.5,61.5,61.5,29600
AAUKF.OB,30-Apr-2018,23.55,23.55,23.55,23.55,500
ABAKF.OB,30-Apr-2018,3.465,3.465,3.465,3.465,200
ABBRF.OB,30-Apr-2018,0.149,0.1529,0.1375,0.1529,23400
ABBY.OB,30-Apr-2018,0.0055,0.0055,0.0055,0.0055,2500
ABCCF.OB,30-Apr-2018,1.31,1.31,1.26,1.27,558300
ABCE.OB,30-Apr-2018,0.0016,0.0017,0.0013,0.0016,15188100
ABCFF.OB,30-Apr-2018,0.1396,0.165,0.1231,0.165,142700
ABCP.OB,30-Apr-2018,0.498,0.5001,0.435,0.5001,230100
ABCZF.OB,30-Apr-2018,16.93,17.04,16.93,17.04,3600
ABCZY.OB,30-Apr-2018,17.4,17.4,16.95,17.325,1900
ABEPF.OB,30-Apr-2018,0.35,0.35,0.35,0.35,2500
ABMT.OB,30-Apr-2018,0.55,0.55,0.55,0.55,500
