Symbol,Date,Open,High,Low,Close,Volume,OpenInt
A6,30-Apr-2018,0.7572,0.7582,0.7525,0.7528,110478,138487
A6.C,30-Apr-2018,0.7582,0.7583,0.7526,0.753,109599,135732
A6H19,30-Apr-2018,0.76,0.76,0.7551,0.7551,0,8
A6H20,30-Apr-2018,0.7634,0.7634,0.7588,0.7588,0,0
A6H21,30-Apr-2018,0.7638,0.7638,0.7595,0.7595,0,0
A6H22,30-Apr-2018,0.7637,0.7637,0.7597,0.7597,0,0
A6H23,30-Apr-2018,0.7635,0.7635,0.7599,0.7599,0,0
A6K18,30-Apr-2018,0.7571,0.7571,0.753,0.753,264,795
A6M18,30-Apr-2018,0.7582,0.7583,0.7526,0.753,109599,135732
A6M19,30-Apr-2018,0.76,0.76,0.756,0.756,0,5
A6M20,30-Apr-2018,0.7639,0.7639,0.7593,0.7593,0,0
A6M21,30-Apr-2018,0.7637,0.7637,0.7595,0.7595,0,0
A6M22,30-Apr-2018,0.7636,0.7636,0.7598,0.7598,0,0
A6N18,30-Apr-2018,0.7571,0.7574,0.7532,0.7532,263,339
A6Q18,30-Apr-2018,0.7583,0.7583,0.7533,0.7533,253,175
A6U18,30-Apr-2018,0.7584,0.7585,0.7532,0.7535,97,1021
A6U19,30-Apr-2018,0.7617,0.7617,0.7569,0.7569,0,0
A6U20,30-Apr-2018,0.7638,0.7638,0.7594,0.7594,0,0
A6U21,30-Apr-2018,0.7637,0.7637,0.7596,0.7596,0,0
A6U22,30-Apr-2018,0.7636,0.7636,0.7598,0.7598,0,0
A6Z18,30-Apr-2018,0.7573,0.7573,0.754,0.7542,2,412
A6Z19,30-Apr-2018,0.7626,0.7626,0.7579,0.7579,0,0
A6Z20,30-Apr-2018,0.7638,0.7638,0.7594,0.7594,0,0
A6Z21,30-Apr-2018,0.7637,0.7637,0.7597,0.7597,0,0
A6Z22,30-Apr-2018,0.7636,0.7636,0.7599,0.7599,0,0
AD,30-Apr-2018,0.7572,0.7582,0.7525,0.7528,110478,138487
AD.C,30-Apr-2018,0.758,0.758,0.753,0.753,109599,135732
ADH19,30-Apr-2018,0.76,0.76,0.7551,0.7551,0,8
ADH20,30-Apr-2018,0.7634,0.7634,0.7588,0.7588,0,0
ADH21,30-Apr-2018,0.7638,0.7638,0.7595,0.7595,0,0
ADH22,30-Apr-2018,0.7637,0.7637,0.7597,0.7597,0,0
ADH23,30-Apr-2018,0.7635,0.7635,0.7599,0.7599,0,0
ADK18,30-Apr-2018,0.758,0.758,0.753,0.753,264,795
ADM18,30-Apr-2018,0.758,0.758,0.753,0.753,109599,135732
ADM19,30-Apr-2018,0.76,0.76,0.756,0.756,0,5
ADM20,30-Apr-2018,0.7639,0.7639,0.7593,0.7593,0,0
ADM21,30-Apr-2018,0.7637,0.7637,0.7595,0.7595,0,0
ADM22,30-Apr-2018,0.7636,0.7636,0.7598,0.7598,0,0
ADN18,30-Apr-2018,0.7582,0.7582,0.7532,0.7532,263,339
ADQ18,30-Apr-2018,0.7583,0.7583,0.7533,0.7533,253,175
ADU18,30-Apr-2018,0.7585,0.7585,0.7535,0.7535,97,1021
ADU19,30-Apr-2018,0.7617,0.7617,0.7569,0.7569,0,0
ADU20,30-Apr-2018,0.7638,0.7638,0.7594,0.7594,0,0
ADU21,30-Apr-2018,0.7637,0.7637,0.7596,0.7596,0,0
ADU22,30-Apr-2018,0.7636,0.7636,0.7598,0.7598,0,0
ADZ18,30-Apr-2018,0.7592,0.7592,0.7542,0.7542,2,412
ADZ19,30-Apr-2018,0.7626,0.7626,0.7579,0.7579,0,0
ADZ20,30-Apr-2018,0.7638,0.7638,0.7594,0.7594,0,0
ADZ21,30-Apr-2018,0.7637,0.7637,0.7597,0.7597,0,0
ADZ22,30-Apr-2018,0.7636,0.7636,0.7599,0.7599,0,0
B6,30-Apr-2018,1.3771,1.3791,1.3712,1.3762,164952,192474
B6.C,30-Apr-2018,1.3809,1.3822,1.3742,1.3776,156933,186785
B6H19,30-Apr-2018,1.4007,1.4007,1.3939,1.3966,6,192
B6H20,30-Apr-2018,1.4259,1.4259,1.4222,1.4222,0,0
B6H21,30-Apr-2018,1.4485,1.4485,1.4447,1.4447,0,0
B6H22,30-Apr-2018,1.4707,1.4707,1.4667,1.4667,0,0
B6H23,30-Apr-2018,1.4929,1.4929,1.4886,1.4886,0,0
