Symbol,Date,Open,High,Low,Close,Volume,OpenInt
KEH19,03-Apr-2018 09:00,562,562,562,562,8,0
KEH19,03-Apr-2018 09:05,562,562,562,562,2,0
KEH19,03-Apr-2018 09:10,561.25,561.25,561.25,561.25,3,0
KEH19,03-Apr-2018 09:35,560.5,560.5,560.5,560.5,1,0
KEH19,03-Apr-2018 09:50,563,563,563,563,2,0
KEH19,03-Apr-2018 09:55,563.25,563.25,563.25,563.25,1,0
KEH19,03-Apr-2018 10:00,564.25,564.25,564.25,564.25,1,0
KEH19,03-Apr-2018 10:05,564.25,564.25,564.25,564.25,1,0
KEH19,03-Apr-2018 10:10,564.5,564.5,563,563,3,0
KEH19,03-Apr-2018 10:25,562.5,562.5,562.5,562.5,1,0
KEH19,03-Apr-2018 10:30,565,565,565,565,1,0
KEH19,03-Apr-2018 10:55,565.5,565.5,565.5,565.5,1,0
KEH19,03-Apr-2018 11:10,566.75,566.75,566.75,566.75,1,0
KEH19,03-Apr-2018 11:15,566,566,566,566,3,0
KEH19,03-Apr-2018 11:40,567,567,566.5,567,29,0
KEH19,03-Apr-2018 11:45,566.75,566.75,566.75,566.75,1,0
KEH19,03-Apr-2018 12:10,564.25,564.25,564.25,564.25,1,0
KEH19,03-Apr-2018 12:15,564.25,564.25,564.25,564.25,3,0
KEH19,03-Apr-2018 12:20,564.25,564.25,564.25,564.25,3,0
KEH19,03-Apr-2018 12:35,564,564.5,564,564.5,19,0
KEH19,03-Apr-2018 12:45,563.75,563.75,563.75,563.75,1,0
KEH19,03-Apr-2018 13:10,562.5,562.5,561.5,562,28,0
KEK18,03-Apr-2018 09:00,485.75,487.75,485.5,487.5,622,0
KEK18,03-Apr-2018 09:05,487.75,488.5,485.5,485.75,921,0
KEK18,03-Apr-2018 09:10,486,487,485.5,486.25,441,0
KEK18,03-Apr-2018 09:15,486.5,486.5,485.75,486.5,416,0
KEK18,03-Apr-2018 09:20,486.5,486.5,485,485.5,333,0
KEK18,03-Apr-2018 09:25,485.25,486,484.25,484.5,240,0
KEK18,03-Apr-2018 09:30,484.75,485.25,484.25,484.75,278,0
KEK18,03-Apr-2018 09:35,485,485.5,484.5,485.25,137,0
KEK18,03-Apr-2018 09:40,485.5,486.75,485.5,486.5,216,0
KEK18,03-Apr-2018 09:45,486.75,487.25,486.5,487,207,0
KEK18,03-Apr-2018 09:50,487,487.75,487,487.5,410,0
KEK18,03-Apr-2018 09:55,487.75,488,487.25,487.5,243,0
KEK18,03-Apr-2018 10:00,487.5,489,487.5,489,286,0
KEK18,03-Apr-2018 10:05,488.75,489,487.75,488.5,157,0
KEK18,03-Apr-2018 10:10,488.5,489,487,487.25,360,0
KEK18,03-Apr-2018 10:15,487.25,488.25,486.75,487,321,0
KEK18,03-Apr-2018 10:20,487,487.25,486.5,487,176,0
KEK18,03-Apr-2018 10:25,487,488.75,487,488.5,271,0
KEK18,03-Apr-2018 10:30,488.5,490,488.5,490,488,0
KEK18,03-Apr-2018 10:35,489.75,490.5,489.5,489.5,422,0
KEK18,03-Apr-2018 10:40,489.75,489.75,488.75,489.25,212,0
KEK18,03-Apr-2018 10:45,489.5,490,489.25,490,181,0
KEK18,03-Apr-2018 10:50,490,491,490,490.75,306,0
KEK18,03-Apr-2018 10:55,490.75,491,489.75,490,547,0
KEK18,03-Apr-2018 11:00,490.25,491,490,491,251,0
KEK18,03-Apr-2018 11:05,491,491.25,491,491.25,99,0
KEK18,03-Apr-2018 11:10,491.25,492,491,491.25,389,0
KEK18,03-Apr-2018 11:15,491.25,491.75,491,491.75,124,0
KEK18,03-Apr-2018 11:20,491.75,491.75,491,491,255,0
KEK18,03-Apr-2018 11:25,491,491.25,490.75,491,333,0
KEK18,03-Apr-2018 11:30,491,491.5,491,491.25,356,0
KEK18,03-Apr-2018 11:35,491.25,491.5,490.5,491.25,791,0
KEK18,03-Apr-2018 11:40,491.25,492.5,491.25,492.25,414,0
KEK18,03-Apr-2018 11:45,492,492.25,491.75,491.75,392,0
KEK18,03-Apr-2018 11:50,491.75,491.75,491,491.25,320,0
KEK18,03-Apr-2018 11:55,491,491.25,490.5,490.5,193,0
KEK18,03-Apr-2018 12:00,490.5,490.75,489.75,490.25,176,0
KEK18,03-Apr-2018 12:05,490,490.5,489.75,489.75,141,0
