Symbol,Date,Open,High,Low,Close,Volume,OpenInt
DW,30-Apr-2018,573.89,573.89,573.89,573.89,0,0
IC,30-Apr-2018,371,371,363.15,363.15,0,0
IC.C,30-Apr-2018,371,374,371,374,0,0
ICJ18,30-Apr-2018,366,369,366,369,0,0
ICK18,30-Apr-2018,371,374,371,374,0,0
IH,30-Apr-2018,479,484.26,479,484.26,0,0
IH.C,30-Apr-2018,479,491,479,491,0,0
IHJ18,30-Apr-2018,474,486,474,486,0,0
IHK18,30-Apr-2018,479,491,479,491,0,0
IP,30-Apr-2018,605,606.62,605,606.62,0,0
IP.C,30-Apr-2018,605,611,605,611,0,0
IPJ18,30-Apr-2018,600,606,600,606,0,0
IPK18,30-Apr-2018,605,611,605,611,0,0
IS,30-Apr-2018,976,976,971.65,971.65,0,0
IS.C,30-Apr-2018,976,976,976,976,0,0
ISJ18,30-Apr-2018,971,971,971,971,0,0
ISK18,30-Apr-2018,976,976,976,976,0,0
IW,30-Apr-2018,466,479.28,466,479.28,0,0
IW.C,30-Apr-2018,466,479,466,479,0,0
IWJ18,30-Apr-2018,461,474,461,474,0,0
IWK18,30-Apr-2018,466,479,466,479,0,0
MW,30-Apr-2018,608.5,763,608.5,763,16002,56534
MW.C,30-Apr-2018,610.25,621,610,615.5,8645,33130
MWH19,30-Apr-2018,640,648,640,644.75,469,1875
MWK18,30-Apr-2018,608.5,621.25,608.5,617.75,3040,2097
MWK19,30-Apr-2018,652.5,652.75,651.75,651.75,127,241
MWN18,30-Apr-2018,610.25,621,610,615.5,8645,33130
MWN19,30-Apr-2018,652.5,659,652.5,659,80,177
MWU18,30-Apr-2018,616.75,626.25,616.25,621,2527,10926
MWU19,30-Apr-2018,640,640.25,640,640.25,1,79
MWZ18,30-Apr-2018,628.25,637.5,628.25,632.5,1113,8007
MWZ19,30-Apr-2018,638.75,641.25,638.75,641.25,0,2
NW,30-Apr-2018,536.88,546.21,536.88,546.21,0,0
