Symbol,Date,Open,High,Low,Close,Volume,OpenInt
BG,30-Apr-2018,9312,9345.99,9208.58,9211.36,4154,5720
BGK18,30-Apr-2018,9300,9480,9130,9360,3711,4273
BGM18,30-Apr-2018,9280,9470,9170,9370,373,1121
N2K18,30-Apr-2018,3.8,3.9,3.8,3.9,0,0
N2M18,30-Apr-2018,3.8,3.9,3.8,3.9,0,0
Q6,30-Apr-2018,15.42,16.91,15.17,16.3,0,0
R3,30-Apr-2018,20.52,21.68,20.46,21.06,0,0
VA,30-Apr-2018,16.89,22.07,16.15,17.64,0,0
VI,30-Apr-2018,15.39,16.35,15.13,15.93,176588,368876
VI.C,30-Apr-2018,16.35,16.75,16,16.63,97541,0
VIK18,30-Apr-2018,16.35,16.75,16,16.625,97541,147262
VIM18,30-Apr-2018,16.75,17,16.51,16.925,56491,88881
VIN18,30-Apr-2018,17.1,17.35,16.91,17.275,11958,39000
VIQ18,30-Apr-2018,17.25,17.45,17.1,17.425,4913,27305
VIU18,30-Apr-2018,17.6,17.75,17.46,17.725,2010,25088
VIV18,30-Apr-2018,18,18.15,17.87,18.125,1650,26380
VIX18,30-Apr-2018,17.96,18.1,17.82,18.075,1337,11547
VN,30-Apr-2018,10.99,11.47,10.99,11.15,0,0
W1,30-Apr-2018,25.59,28.28,25.59,28.28,0,0
W3,30-Apr-2018,6.94,7.66,6.82,7.23,0,0
Y8,30-Apr-2018,27.24,29.53,27.1,27.75,0,0
Y9,30-Apr-2018,18.73,19.19,18.34,18.91,0,0
