Symbol,Date,Open,High,Low,Close,Volume
URB.A.TO,27-Apr-2018,3,3.14,2.97,3.1,101499
URE.TO,27-Apr-2018,0.93,0.93,0.92,0.93,15500
USA.TO,27-Apr-2018,5.04,5.07,4.94,5.02,13925
USB.TO,27-Apr-2018,22.05,22.05,22.05,22.05,0
USF.UN.TO,27-Apr-2018,8.2,8.2,8.2,8.2,1000
UTC.C.TO,27-Apr-2018,25.14,25.14,25.14,25.14,0
UTE.UN.TO,27-Apr-2018,8.71,8.72,8.71,8.71,4040
UWE.TO,27-Apr-2018,0.34,0.34,0.34,0.34,2825
UXM.TO,27-Apr-2018,14.53,14.53,14.53,14.53,815
UXM.B.TO,27-Apr-2018,15.97,15.97,15.97,15.97,1217
VA.TO,27-Apr-2018,35.97,35.97,35.85,35.87,2802
VAB.TO,27-Apr-2018,24.82,24.83,24.81,24.82,7598
VAH.TO,27-Apr-2018,31.59,31.59,31.54,31.54,297
VB.TO,27-Apr-2018,7.02,7.02,7.01,7.02,3700
VB.PR.A.TO,27-Apr-2018,10.26,10.26,9.99,10.01,23000
VB.PR.B.TO,27-Apr-2018,10.21,10.21,10.21,10.21,900
VBAL.TO,27-Apr-2018,24.67,24.67,24.6,24.64,19963
VBG.TO,27-Apr-2018,26.57,26.61,26.57,26.61,3888
VBU.TO,27-Apr-2018,24.2,24.2,24.17,24.17,5062
VCB.TO,27-Apr-2018,24.6,24.6,24.6,24.6,0
VCE.TO,27-Apr-2018,33.1,33.17,33.1,33.17,11415
VCM.TO,27-Apr-2018,8.82,8.82,8.8,8.8,200
VCN.TO,27-Apr-2018,31.8,31.83,31.73,31.79,22499
VCNS.TO,27-Apr-2018,24.7,24.73,24.7,24.73,3860
VDU.TO,27-Apr-2018,36.43,36.43,36.27,36.27,3590
VDY.TO,27-Apr-2018,32.71,32.76,32.67,32.76,26373
VE.TO,27-Apr-2018,30.25,30.32,30.17,30.31,6954
VEE.TO,27-Apr-2018,35.52,35.52,35.31,35.51,42206
VEF.TO,27-Apr-2018,41.51,41.51,41.38,41.41,1297
VEH.TO,27-Apr-2018,29.57,29.57,29.57,29.57,0
VET.TO,27-Apr-2018,43.99,44.4,43.38,43.5,569531
VFF.TO,27-Apr-2018,4.71,4.89,4.68,4.72,74383
VFV.TO,27-Apr-2018,61.12,61.19,60.83,60.97,20689
VGG.TO,27-Apr-2018,44.24,44.24,44.24,44.24,4211
VGH.TO,27-Apr-2018,35.25,35.25,35.25,35.25,100
VGRO.TO,27-Apr-2018,24.55,24.56,24.48,24.54,12086
VGZ.TO,27-Apr-2018,0.94,0.94,0.94,0.94,0
VI.TO,27-Apr-2018,29.18,29.18,29.06,29.17,4077
VII.TO,27-Apr-2018,18.83,19.06,18.59,18.64,577687
VIP.UN.TO,27-Apr-2018,9.63,9.67,9.63,9.67,11310
VIU.TO,27-Apr-2018,29.39,29.4,29.3,29.34,18041
VLB.TO,27-Apr-2018,25.35,25.35,25.29,25.29,364
VLE.TO,27-Apr-2018,5.57,5.64,5.35,5.4,308682
VLN.TO,27-Apr-2018,16.83,16.83,16.83,16.83,200
VLQ.TO,27-Apr-2018,32.86,32.86,32.86,32.86,0
VMO.TO,27-Apr-2018,33.12,33.12,33.11,33.11,271
VNP.TO,27-Apr-2018,2.93,2.94,2.91,2.94,13100
VNP.DB.TO,27-Apr-2018,101,101,101,101,149000
VNR.TO,27-Apr-2018,20.09,20.28,20.02,20.16,34823
VNR.PR.A.TO,27-Apr-2018,24.56,24.56,24.55,24.55,800
VRE.TO,27-Apr-2018,30.52,30.68,30.52,30.68,2579
VRX.TO,27-Apr-2018,22.98,23.46,22.94,23.05,437197
VSB.TO,27-Apr-2018,23.65,23.67,23.65,23.67,9108
VSC.TO,27-Apr-2018,24.03,24.04,24.03,24.03,8230
VSG.TO,27-Apr-2018,24.29,24.29,24.29,24.29,0
VSP.TO,27-Apr-2018,46.96,46.97,46.72,46.87,13572
VUN.TO,27-Apr-2018,48.08,48.15,47.85,47.99,19930
VUS.TO,27-Apr-2018,52.93,52.93,52.65,52.84,12337
