Symbol,Date,Open,High,Low,Close,Volume
MAI.V,30-Apr-2018,0.135,0.14,0.13,0.13,436625
MAS.V,30-Apr-2018,0.105,0.105,0.105,0.105,26000
MAT.V,30-Apr-2018,0.035,0.035,0.03,0.03,20000
MAZ.H.V,30-Apr-2018,0.09,0.09,0.09,0.09,3000
MBO.V,30-Apr-2018,0.09,0.1,0.09,0.1,10250
MC.V,30-Apr-2018,0.55,0.55,0.53,0.54,47719
MCG.V,30-Apr-2018,0.025,0.025,0.025,0.025,4000
MCI.V,30-Apr-2018,0.75,0.75,0.74,0.74,138000
MCLD.V,30-Apr-2018,0.4,0.4,0.4,0.4,28500
MCN.V,30-Apr-2018,0.06,0.06,0.06,0.06,4000
MCO.V,30-Apr-2018,0.14,0.14,0.14,0.14,50000
MCR.V,30-Apr-2018,2.05,2.05,2,2.05,19076
MD.V,30-Apr-2018,1,1.01,0.97,1,91820
MDL.V,30-Apr-2018,0.11,0.11,0.11,0.11,10000
MDV.V,30-Apr-2018,0.08,0.08,0.075,0.075,33000
MDX.V,30-Apr-2018,0.22,0.225,0.22,0.225,327598
MED.V,30-Apr-2018,0.2,0.2,0.2,0.2,6000
MEK.V,30-Apr-2018,0.06,0.06,0.055,0.055,24000
MEX.V,30-Apr-2018,0.36,0.38,0.35,0.35,36350
MFM.V,30-Apr-2018,0.18,0.185,0.18,0.185,22000
MFX.V,30-Apr-2018,0.02,0.02,0.02,0.02,5000
MGG.V,30-Apr-2018,0.5,0.5,0.49,0.5,277750
MGI.V,30-Apr-2018,0.03,0.035,0.03,0.035,171000
MGM.V,30-Apr-2018,0.23,0.245,0.23,0.245,594864
MGZ.H.V,30-Apr-2018,0.02,0.02,0.02,0.02,182000
MINE.V,30-Apr-2018,0.095,0.095,0.095,0.095,2000
MIR.V,30-Apr-2018,0.02,0.02,0.015,0.015,55000
MIT.V,30-Apr-2018,0.36,0.44,0.36,0.375,196044
MJS.V,30-Apr-2018,0.05,0.05,0.05,0.05,10000
MKA.V,30-Apr-2018,0.135,0.135,0.13,0.13,25500
MKR.V,30-Apr-2018,0.045,0.045,0.045,0.045,22000
MKT.V,30-Apr-2018,0.065,0.07,0.065,0.07,97233
ML.V,30-Apr-2018,2.14,2.17,2.13,2.16,77253
MLG.V,30-Apr-2018,0.11,0.11,0.1,0.105,430806
MLN.V,30-Apr-2018,0.43,0.43,0.43,0.43,35182
MLR.V,30-Apr-2018,0.115,0.115,0.095,0.11,91357
MLY.V,30-Apr-2018,0.09,0.09,0.085,0.09,98000
MMA.V,30-Apr-2018,0.3,0.3,0.3,0.3,46500
MMG.V,30-Apr-2018,0.35,0.355,0.345,0.355,34732
MMM.V,30-Apr-2018,0.135,0.135,0.135,0.135,1300
MMS.V,30-Apr-2018,0.05,0.05,0.05,0.05,4987950
MMV.V,30-Apr-2018,0.63,0.65,0.6,0.6,226306
MMX.V,30-Apr-2018,1.6,1.6,1.57,1.57,12800
MN.V,30-Apr-2018,0.185,0.19,0.185,0.19,83500
MNY.V,30-Apr-2018,0.02,0.02,0.02,0.02,235000
MOL.V,30-Apr-2018,0.3,0.3,0.28,0.28,96267
MOO.V,30-Apr-2018,0.005,0.005,0.005,0.005,50000
MOON.V,30-Apr-2018,0.08,0.08,0.08,0.08,95361
MOS.V,30-Apr-2018,0.155,0.155,0.14,0.145,252370
MOX.V,30-Apr-2018,0.6,0.61,0.59,0.59,163500
MPH.V,30-Apr-2018,6.4,6.5,6.4,6.48,1500
MPT.V,30-Apr-2018,0.1,0.1,0.095,0.095,10000
MQR.V,30-Apr-2018,0.295,0.31,0.295,0.295,40914
MQX.V,30-Apr-2018,0.05,0.055,0.05,0.05,425000
MRO.V,30-Apr-2018,0.245,0.245,0.23,0.245,61600
MRS.V,30-Apr-2018,0.28,0.29,0.265,0.27,509010
MRZ.V,30-Apr-2018,2,2,1.97,1.97,8508
MSA.V,30-Apr-2018,0.045,0.05,0.045,0.05,64000
MTA.V,30-Apr-2018,0.85,0.85,0.8,0.8,152830
MTB.V,30-Apr-2018,0.06,0.065,0.055,0.065,181100
MTC.V,30-Apr-2018,0.02,0.02,0.02,0.02,2000
MTH.V,30-Apr-2018,0.075,0.075,0.07,0.07,11000
MTO.V,30-Apr-2018,0.51,0.53,0.5,0.5,39000
MTS.V,30-Apr-2018,1.3,1.3,1.23,1.23,37995
MTT.V,30-Apr-2018,0.045,0.045,0.035,0.035,5000
MTU.V,30-Apr-2018,0.1,0.1,0.085,0.085,60000
MTX.V,30-Apr-2018,0.04,0.04,0.04,0.04,2106
MUN.V,30-Apr-2018,0.14,0.145,0.14,0.145,96975
MVI.V,30-Apr-2018,0.24,0.24,0.23,0.23,2100
MVN.V,30-Apr-2018,0.24,0.25,0.24,0.245,554622
MVP.V,30-Apr-2018,0.05,0.05,0.045,0.045,24000
MVY.V,30-Apr-2018,0.08,0.08,0.08,0.08,6000
MWX.V,30-Apr-2018,0.2,0.21,0.2,0.2,88800
MXR.V,30-Apr-2018,0.205,0.205,0.2,0.2,49000
