Symbol,Date,Open,High,Low,Close,Volume,OpenInt
AH,03-Apr-2018,87.03,87.29,86.94,87,624,45339
AH.C,03-Apr-2018,87,87.3,87,87,624,45339
AHH19,03-Apr-2018,86.9,87,86.9,87,0,0
AHM18,03-Apr-2018,87,87.3,87,87,624,45339
AHU18,03-Apr-2018,86.9,87,86.9,87,0,0
AHZ18,03-Apr-2018,86.9,87,86.9,87,0,0
AHZ19,03-Apr-2018,86.9,87,86.9,87,0,0
AHZ20,03-Apr-2018,86.9,87,86.9,87,0,0
AHZ21,03-Apr-2018,86.9,87,86.9,87,0,0
AHZ22,03-Apr-2018,86.9,87,86.9,87,0,0
AK,03-Apr-2018,1.415,1.415,1.415,1.415,407,1946
AK.C,03-Apr-2018,1.434,1.435,1.434,1.435,148,419
AKF19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKF20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKF21,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKG19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKG20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKG21,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKH19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKH20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKH21,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKJ18,03-Apr-2018,1.41,1.41,1.405,1.405,2,74
AKJ19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKJ20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKK18,03-Apr-2018,1.427,1.427,1.426,1.426,251,998
AKK19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKK20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKM18,03-Apr-2018,1.434,1.435,1.434,1.435,148,419
AKM19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKM20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKN18,03-Apr-2018,1.44,1.441,1.44,1.441,0,269
AKN19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKN20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKQ18,03-Apr-2018,1.445,1.446,1.445,1.446,0,18
AKQ19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKQ20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKU18,03-Apr-2018,1.45,1.454,1.45,1.454,0,108
AKU19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKU20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKV18,03-Apr-2018,1.445,1.454,1.445,1.454,5,6
AKV19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKV20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKX18,03-Apr-2018,1.435,1.444,1.435,1.444,0,16
AKX19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKX20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKZ18,03-Apr-2018,1.43,1.439,1.43,1.439,1,38
AKZ19,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
AKZ20,03-Apr-2018,1.439,1.448,1.439,1.448,0,0
BO,03-Apr-2018,32.04,32.04,30.69,30.69,195516,517457
BO.C,03-Apr-2018,32.04,32.34,32.04,32.34,97078,205040
BOF19,03-Apr-2018,33.17,33.5,33.17,33.5,1545,12030
BOF20,03-Apr-2018,34.09,34.44,34.09,34.44,0,64
BOH19,03-Apr-2018,33.42,33.76,33.42,33.76,1078,9233
BOH20,03-Apr-2018,34.32,34.67,34.32,34.67,0,129
BOK18,03-Apr-2018,32.04,32.34,32.04,32.34,97078,205040
BOK19,03-Apr-2018,33.64,33.98,33.64,33.98,82,3321
BOK20,03-Apr-2018,34.26,34.58,34.26,34.58,0,128
BON18,03-Apr-2018,32.3,32.62,32.3,32.62,66852,146149
BON19,03-Apr-2018,33.84,34.19,33.84,34.19,173,2558
BON20,03-Apr-2018,34.43,34.74,34.43,34.74,0,77
BON21,03-Apr-2018,34.33,34.7,34.33,34.7,0,0
BOQ18,03-Apr-2018,32.43,32.75,32.43,32.75,10024,29002
BOQ19,03-Apr-2018,33.87,34.22,33.87,34.22,0,403
