Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,27-Apr-2018,40,47,-12,17,0
ADDD.IDX,27-Apr-2018,-1,3,-1,1,0
ADDE.IDX,27-Apr-2018,306,516,-39,514,0
ADDN.IDX,27-Apr-2018,366,405,-273,188,0
ADDQ.IDX,27-Apr-2018,651,651,-364,-25,0
ADDS.IDX,27-Apr-2018,100,171,14,162,0
ADDT.IDX,27-Apr-2018,1057,1057,-610,180,0
ADDV.IDX,27-Apr-2018,16,16,-59,-36,0
ADDX.IDX,27-Apr-2018,116,140,-39,126,0
ADRA.IDX,27-Apr-2018,1.85,1.85,0.88,1.18,0
ADRD.IDX,27-Apr-2018,1,2.5,1,1.2,0
ADRE.IDX,27-Apr-2018,1.78,1.99,0.94,1.82,0
ADRN.IDX,27-Apr-2018,1.49,1.53,0.75,1.2,0
ADRQ.IDX,27-Apr-2018,1.98,1.98,0.72,0.97,0
ADRS.IDX,27-Apr-2018,1.31,1.31,1.02,1.26,0
ADRT.IDX,27-Apr-2018,1.72,1.72,0.75,1.08,0
ADRV.IDX,27-Apr-2018,1.11,1.11,0.78,0.9,0
ADRX.IDX,27-Apr-2018,1.25,1.25,0.95,1.12,0
ADVA.IDX,27-Apr-2018,87,109,87,109,29741800
ADVD.IDX,27-Apr-2018,1,6,1,6,1900
ADVE.IDX,27-Apr-2018,698,1142,698,1139,608851300
ADVN.IDX,27-Apr-2018,1110,1169,849,1088,1672571000
ADVQ.IDX,27-Apr-2018,1312,1312,947,1166,893309400
ADVS.IDX,27-Apr-2018,422,773,422,773,74237900
ADVT.IDX,27-Apr-2018,2509,2524,1901,2363,2595623000
ADVV.IDX,27-Apr-2018,157,329,157,325,34959700
ADVX.IDX,27-Apr-2018,579,1098,579,1098,109197600
ASHD.IDX,27-Apr-2018,128,791,128,661,0
ASHF.IDX,27-Apr-2018,83,488,-80,457,0
ASHR.IDX,27-Apr-2018,1.64,2.01,0.89,1.69,0
ASHU.IDX,27-Apr-2018,211,1131,211,1118,0
AVDA.IDX,27-Apr-2018,121.56,764.02,121.56,764.02,0
AVDD.IDX,27-Apr-2018,-7.83,-7.83,-411.46,-411.46,0
AVDE.IDX,27-Apr-2018,736.19,26997.35,-2925.34,26997.35,0
AVDN.IDX,27-Apr-2018,990.76,37863.68,-10342.94,25230.55,0
AVDQ.IDX,27-Apr-2018,2871.86,11489.13,-14504.91,280.92,0
AVDS.IDX,27-Apr-2018,23.52,23.52,-2738.04,-2000.86,0
AVDT.IDX,27-Apr-2018,3984.18,41318.61,-6600.19,20671.43,0
AVDV.IDX,27-Apr-2018,-129.37,186.93,-339.37,143.41,0
AVDX.IDX,27-Apr-2018,-105.85,-105.85,-2919.3,-1857.45,0
AVLD.IDX,27-Apr-2018,1.67,292.2,1.67,276.44,0
AVLF.IDX,27-Apr-2018,0.09,243.92,-49.5,234.94,0
AVLR.IDX,27-Apr-2018,1.05,2.37,0.7,1.84,0
AVLU.IDX,27-Apr-2018,1.77,511.39,1.77,511.39,0
AVRA.IDX,27-Apr-2018,3.59,3.59,1.25,1.34,0
AVRD.IDX,27-Apr-2018,0.01,0.01,0.01,0.01,0
AVRE.IDX,27-Apr-2018,1.53,1.87,0.82,1.79,0
AVRN.IDX,27-Apr-2018,1.24,1.42,0.83,1.18,0
AVRQ.IDX,27-Apr-2018,2.5,2.5,0.73,0.93,0
AVRS.IDX,27-Apr-2018,1.04,1.04,0.67,0.78,0
AVRT.IDX,27-Apr-2018,1.66,1.66,0.9,1.08,0
AVRV.IDX,27-Apr-2018,0.75,1.05,0.71,1.04,0
AVRX.IDX,27-Apr-2018,0.89,0.9,0.7,0.85,0
AVVA.IDX,27-Apr-2018,1.68,29.74,1.68,29.74,0
AVVD.IDX,27-Apr-2018,0.02,0.02,0.02,0.02,0
AVVE.IDX,27-Apr-2018,21.19,608.85,21.19,608.85,0
AVVN.IDX,27-Apr-2018,50.66,1672.57,50.66,1672.57,0
AVVQ.IDX,27-Apr-2018,47.84,893.3,47.84,893.3,0
AVVS.IDX,27-Apr-2018,5.07,74.23,5.07,74.23,0
AVVT.IDX,27-Apr-2018,100.19,2595.62,100.19,2595.62,0
AVVV.IDX,27-Apr-2018,3.94,34.95,3.94,34.95,0
AVVX.IDX,27-Apr-2018,9.02,109.19,9.02,109.19,0
BANK.IDX,27-Apr-2018,4195.51,4224.12,4189.9,4204.2,0
BCMA.IDX,27-Apr-2018,2212,2226,1608,2036,0
